title,publication_year,authors_list,doi,crossref_type,key
Amphetamine-induced alteration to gaze parameters: A novel conceptual pathway and implications for naturalistic behavior,2021,"Amie C. Hayley, Brook Shiferaw, Luke A. Downey",10.1016/j.pneurobio.2020.101929,journal-article,researchgraph.com/doi/10.1016/j.pneurobio.2020.101929
Driver monitoring systems (DMS): The future of impaired driving management?,2021,"Amie C. Hayley, Brook Shiferaw, Blair Aitken, Frederick Vinckenbosch, Timothy L. Brown, Luke A. Downey",10.1080/15389588.2021.1899164,journal-article,researchgraph.com/doi/10.1080/15389588.2021.1899164
Driving Impairment Following Vaporization of Cannabis,2021,"Luke A. Downey, Amie C. Hayley",10.1001/jama.2021.0451,journal-article,researchgraph.com/doi/10.1001/jama.2021.0451
Do individual differences in state and trait anxiety predict sleep difficulties in healthy older adults?,2019,"Philip Weeks, Amie Hayley, Con Stough",10.1016/j.paid.2019.03.004,journal-article,researchgraph.com/doi/10.1016/j.paid.2019.03.004
Managing the high: developing legislation and detection methods for cannabis impairment,2021,"Thomas R. Arkell, Amie C. Hayley, Luke A. Downey",10.1038/s41583-021-00500-5,journal-article,researchgraph.com/doi/10.1038/s41583-021-00500-5
Neurocognitive performance under combined regimens of ketamine-dexmedetomidine and ketamine-fentanyl in healthy adults: A randomised trial,2019,"Amie C. Hayley, Maja Green, Luke A. Downey, Michael Keane, Michaela Kenneally, Mark Adams, Yahya Shehabi",10.1016/j.pnpbp.2019.109647,journal-article,researchgraph.com/doi/10.1016/j.pnpbp.2019.109647
Prescription medication use and crash risk: taking responsibility for a new global challenge,2021,"Luke A Downey, Amie C Hayley",10.1016/s2468-2667(21)00045-1,journal-article,researchgraph.com/doi/10.1016/s2468-2667(21)00045-1
Driving Simulator Performance After Administration of Analgesic Doses of Ketamine With Dexmedetomidine or Fentanyl,2019,"Amie C. Hayley, Luke A. Downey, Maja Green, Brook Shiferaw, Michaela Kenneally, Michael Keane, Mark Adams, Yahya Shehabi",10.1097/jcp.0000000000001101,journal-article,researchgraph.com/doi/10.1097/jcp.0000000000001101
"Insomnia, sleep duration and academic performance: a national survey of Norwegian college and university students",2019,"Øystein Vedaa, Eilin K. Erevik, Mari Hysing, Amie C. Hayley, Børge Sivertsen",10.1016/j.sleepx.2019.100005,journal-article,researchgraph.com/doi/10.1016/j.sleepx.2019.100005
Effect of CannEpil<sup>®</sup> on simulated driving performance and co-monitoring of ocular activity: A randomised controlled trial,2023,"Brooke Manning, Amie C Hayley, Sarah Catchlove, Brook Shiferaw, Con Stough, Luke A Downey",10.1177/02698811231170360,journal-article,researchgraph.com/doi/10.1177/02698811231170360
Acute neurocognitive and subjective effects of oral methamphetamine with low doses of alcohol: A randomised controlled trial,2023,"Amie C Hayley, Brook Shiferaw, Joanna Rositano, Luke A Downey",10.1177/02698811231179805,journal-article,researchgraph.com/doi/10.1177/02698811231179805
Risky driving behaviours among stimulant drug users and the role of aggression: findings from a national survey,2019,"Amie C. Hayley, Carl L. Hart, Kate Y. O'Malley, Con K. K. Stough, Luke A. Downey",10.1111/add.14759,journal-article,researchgraph.com/doi/10.1111/add.14759
"A randomised, placebo-controlled, double blind, crossover trial on the effect of a 20:1 cannabidiol: Δ9-tetrahydrocannabinol medical cannabis product on neurocognition, attention, and mood",2024,"Brooke Manning, Amie C. Hayley, Sarah Catchlove, Con Stough, Luke A. Downey",10.1016/j.euroneuro.2024.02.002,journal-article,researchgraph.com/doi/10.1016/j.euroneuro.2024.02.002
High standards: considerations for the application of the standard THC unit,2021,"Thomas R Arkell, Amie C Hayley, Luke A Downey",10.1016/s2215-0366(21)00394-1,journal-article,researchgraph.com/doi/10.1016/s2215-0366(21)00394-1
Trait anger as a predictor of dangerous driving behaviour amongst people who use methamphetamine,2024,"Aaron Mackay, Luke A. Downey, Shalini Arunogiri, Rowan P. Ogeil, Amie C. Hayley",10.1016/j.aap.2024.107634,journal-article,researchgraph.com/doi/10.1016/j.aap.2024.107634
A relational view of how social capital contributes to effective digital transformation outcomes,2024,"Mohsin Malik, Amir Andargoli, Roberto Chavez Clavijo, Patrick Mikalef",10.1016/j.jsis.2024.101837,journal-article,researchgraph.com/doi/10.1016/j.jsis.2024.101837
Measuring the digital divide: A modified benefit-of-the-doubt approach,2023,"Mahdi Mahdiloo, Amir E. Andargoli, Mehdi Toloo, Charles Harvie, Thach-Thao Duong",10.1016/j.knosys.2022.110191,journal-article,researchgraph.com/doi/10.1016/j.knosys.2022.110191
Relationships between paranoia and body image concern among community women,2022,"Amy Malcolm, Andrea Phillipou, Erica Neill, Susan L. Rossell, Wei Lin Toh",10.1016/j.jpsychires.2022.05.007,journal-article,researchgraph.com/doi/10.1016/j.jpsychires.2022.05.007
Body dysmorphic disorder and the ugly truth of Australian healthcare,2023,"Susan L Rossell, David J Castle, Toni Pikoos, Amy Malcolm",10.1177/00048674231169441,journal-article,researchgraph.com/doi/10.1177/00048674231169441
A biopsychosocial proposal to progress the field of anorexia nervosa,2019,"Andrea Phillipou, Selma Musić, Susan Lee Rossell",10.1177/0004867419849487,journal-article,researchgraph.com/doi/10.1177/0004867419849487
Can Cognitive Flexibility and Clinical Perfectionism Be Used to Identify People with Anorexia Nervosa?,2022,"Stephanie Miles, Maja Nedeljkovic, Andrea Phillipou",10.3390/jcm11071954,journal-article,researchgraph.com/doi/10.3390/jcm11071954
An overview of current mental health in the general population of Australia during the COVID-19 pandemic: Results from the COLLATE project,2021,"Susan L Rossell, Erica Neill, Andrea Phillipou, Eric J Tan, Wei Lin Toh, Tamsyn E Van Rheenen, Denny Meyer",10.1016/j.psychres.2020.113660,journal-article,researchgraph.com/doi/10.1016/j.psychres.2020.113660
Conflation between self-report and neurocognitive assessments of cognitive flexibility: a critical review of the Jingle Fallacy,2023,"Caitlin A. Howlett, Stephanie Miles, Carolyn Berryman, Andrea Phillipou, G. Lorimer Moseley",10.1080/00049530.2023.2174684,journal-article,researchgraph.com/doi/10.1080/00049530.2023.2174684
Eating and exercise behaviors in eating disorders and the general population during the <scp>COVID</scp>‐19 pandemic in Australia: Initial results from the <scp>COLLATE</scp> project,2020,"Andrea Phillipou, Denny Meyer, Erica Neill, Eric J. Tan, Wei Lin Toh, Tamsyn E. Van Rheenen, Susan L. Rossell",10.1002/eat.23317,journal-article,researchgraph.com/doi/10.1002/eat.23317
Over a decade of an eating disorders treatment program: Where to from here?,2023,"Andrea Phillipou, Zoe M Jenkins, J Richard Newton, Karen Gwee, Susan L Rossell, David J Castle",10.1177/10398562231151598,journal-article,researchgraph.com/doi/10.1177/10398562231151598
Anorexia nervosa or starvation?,2018,"Andrea Phillipou, Susan Lee Rossell, David Jonathan Castle",10.1111/ejn.14158,journal-article,researchgraph.com/doi/10.1111/ejn.14158
A mental health research crisis in Australia,2021,Andrea Phillipou,10.1177/00048674211068397,journal-article,researchgraph.com/doi/10.1177/00048674211068397
Understanding self-report and neurocognitive assessments of cognitive flexibility in people with and without lifetime anorexia nervosa,2022,"Stephanie Miles, Maja Nedeljkovic, Philip Sumner, Andrea Phillipou",10.1080/13546805.2022.2038554,journal-article,researchgraph.com/doi/10.1080/13546805.2022.2038554
Comparing the impact of high versus low lockdown severity on the mental health of young people in Australia during the COVID-19 pandemic,2023,"Denny Meyer, Philip J. Sumner, Eric J. Tan, Erica Neill, Emily Hielscher, Julie A. Blake, James G. Scott, Andrea Phillipou, Wei Lin Toh, Tamsyn E. Van Rheenen, Susan L. Rossell",10.1016/j.psychres.2023.115121,journal-article,researchgraph.com/doi/10.1016/j.psychres.2023.115121
High‐definition transcranial direct current stimulation in anorexia nervosa: A pilot study,2019,"Andrea Phillipou, Melissa Kirkovski, David J. Castle, Caroline Gurvich, Larry A. Abel, Stephanie Miles, Susan L. Rossell",10.1002/eat.23146,journal-article,researchgraph.com/doi/10.1002/eat.23146
Eating disorders in young people,2023,"Andrea Phillipou, Patrick McGorry, Eóin Killackey, Sarah Maguire",10.1177/10398562231159514,journal-article,researchgraph.com/doi/10.1177/10398562231159514
Another perspective on how visual neuroscience can inform the treatment of anorexia nervosa: A response to Feusner et al.,2018,"Andrea Phillipou, Susan Lee Rossell, David Jonathan Castle",10.1002/eat.22915,journal-article,researchgraph.com/doi/10.1002/eat.22915
Challenges and priorities for researching the gut microbiota in individuals living with anorexia nervosa,2023,"Madeline L. West, Susan Hart, Amy Loughman, Felice N. Jacka, Heidi M. Staudacher, Afrouz Abbaspour, Andrea Phillipou, Anu Ruusunen, Tetyana Rocks",10.1002/eat.24033,journal-article,researchgraph.com/doi/10.1002/eat.24033
Eye movements in anorexia nervosa: State or trait markers?,2020,"Andrea Phillipou, Larry A. Abel, Caroline Gurvich, David J. Castle, Susan L. Rossell",10.1002/eat.23345,journal-article,researchgraph.com/doi/10.1002/eat.23345
Cognitive flexibility and the risk of anorexia nervosa: An investigation using self-report and neurocognitive assessments,2022,"Stephanie Miles, Andrea Phillipou, Philip Sumner, Maja Nedeljkovic",10.1016/j.jpsychires.2022.05.043,journal-article,researchgraph.com/doi/10.1016/j.jpsychires.2022.05.043
Autonomic nervous system function in women with anorexia nervosa,2021,"Zoe M. Jenkins, David J. Castle, Nina Eikelis, Andrea Phillipou, Gavin W. Lambert, Elisabeth A. Lambert",10.1007/s10286-021-00836-z,journal-article,researchgraph.com/doi/10.1007/s10286-021-00836-z
Investigating the cause and maintenance of Anorexia Nervosa – The I-CAN study: Protocol and open call for study sites and collaboration,2023,"Andrea Phillipou, Scarlett Croce, Larry A. Abel, David J. Castle, Brian Dean, Nina Eikelis, Rosiel Elwyn, Caroline Gurvich, Zoe Jenkins, Denny Meyer, Stephanie Miles, Erica Neill, Christina Ralph-Nearman, Tetyana Rocks, Susan L. Rossell, Anu Ruusunen, Tamara N. Simpson, Gemma Urbini, Madeline West, Amy Malcolm",10.1016/j.psychres.2023.115468,journal-article,researchgraph.com/doi/10.1016/j.psychres.2023.115468
An Overlooked Brain Region in the Aetiology of Anorexia Nervosa: The Importance of Behaviourally Driven Neuroimaging Analysis,2018,"Andrea Phillipou, David Jonathan Castle, Larry Allen Abel, Caroline Gurvich, Susan Lee Rossell",10.1177/1179069518820068,journal-article,researchgraph.com/doi/10.1177/1179069518820068
"Investigating differences in cognitive flexibility, clinical perfectionism, and eating disorder-specific rumination across anorexia nervosa illness states",2023,"Stephanie Miles, Maja Nedeljkovic, Andrea Phillipou",10.1080/10640266.2023.2206751,journal-article,researchgraph.com/doi/10.1080/10640266.2023.2206751
White matter microstructure in anorexia nervosa,2018,"Andrea Phillipou, Sean P. Carruthers, Maria A. Di Biase, Andrew Zalesky, Larry A. Abel, David J. Castle, Caroline Gurvich, Susan L. Rossell",10.1002/hbm.24279,journal-article,researchgraph.com/doi/10.1002/hbm.24279
Refeeding is not a treatment for the underlying symptoms of anorexia nervosa,2020,"Andrea Phillipou, Selma Musić, Susan Lee Rossell",10.1177/0004867420924474,journal-article,researchgraph.com/doi/10.1177/0004867420924474
Differences in regional grey matter volumes in currently ill patients with anorexia nervosa,2018,"Andrea Phillipou, Susan Lee Rossell, Caroline Gurvich, David Jonathan Castle, Larry Allen Abel, Richard Grant Nibbs, Matthew Edward Hughes",10.1111/ejn.13793,journal-article,researchgraph.com/doi/10.1111/ejn.13793
A biomarker and endophenotype for anorexia nervosa?,2021,"Andrea Phillipou, Susan L Rossell, Caroline Gurvich, David J Castle, Denny Meyer, Larry A Abel",10.1177/00048674211047189,journal-article,researchgraph.com/doi/10.1177/00048674211047189
Investigating predictors contributing to the expression of schizotypy during the COVID-19 pandemic,2022,"Wei Lin Toh, Philip J. Sumner, Denny Meyer, Erica Neill, Andrea Phillipou, Eric J. Tan, Tamsyn E. Van Rheenen, Susan L. Rossell",10.1016/j.jpsychires.2022.03.060,journal-article,researchgraph.com/doi/10.1016/j.jpsychires.2022.03.060
Considerations for using the Wisconsin Card Sorting Test to assess cognitive flexibility,2021,"Stephanie Miles, Caitlin A. Howlett, Carolyn Berryman, Maja Nedeljkovic, G. Lorimer Moseley, Andrea Phillipou",10.3758/s13428-021-01551-3,journal-article,researchgraph.com/doi/10.3758/s13428-021-01551-3
"Anorexia nervosa, weight restoration and biological siblings: Differences and similarities in clinical characteristics",2022,"Andrea Phillipou, Caroline Gurvich, David J Castle, Susan L Rossell",10.1177/10398562211067194,journal-article,researchgraph.com/doi/10.1177/10398562211067194
Advancing randomized controlled trial methodologies: The place of innovative trial design in eating disorders research,2024,"Elizabeth G. Ryan, Caroline X. Gao, Kelsey L. Grantham, Le Thi Phuong Thao, Anaïs Charles‐Nelson, Rhys Bowden, Alan Herschtal, Katherine J. Lee, Andrew B. Forbes, Stephane Heritier, Andrea Phillipou, Rory Wolfe",10.1002/eat.24187,journal-article,researchgraph.com/doi/10.1002/eat.24187
Advances in the Aetiology and Treatment of Anorexia Nervosa,2022,Andrea Phillipou,10.3390/jcm11206068,journal-article,researchgraph.com/doi/10.3390/jcm11206068
Gastrointestinal symptoms following treatment for anorexia nervosa: A systematic literature review,2021,"Madeline West, Caitlin M. McMaster, Heidi M. Staudacher, Susan Hart, Felice N. Jacka, Tim Stewart, Amy Loughman, Tetyana Rocks, Anu Ruusunen",10.1002/eat.23469,journal-article,researchgraph.com/doi/10.1002/eat.23469
Maternal caffeine intake during pregnancy and the risk of delivering a small for gestational age baby: Kuopio Birth Cohort,2024,"Anni Kukkonen, Sari Hantunen, Ari Voutilainen, Anu Ruusunen, Katri Backman, Pirkka V. Kirjavainen, Maija Ylilauri, Raimo Voutilainen, Markku Pasanen, Leea Keski-Nisula",10.1007/s00404-024-07538-7,journal-article,researchgraph.com/doi/10.1007/s00404-024-07538-7
"Prevalence of food insecurity in people with major depression, bipolar disorder, and schizophrenia and related psychoses: A systematic review and meta-analysis",2021,"Scott B. Teasdale, Annabel S. Müller-Stierlin, Anu Ruusunen, Melissa Eaton, Wolfgang Marx, Joseph Firth",10.1080/10408398.2021.2002806,journal-article,researchgraph.com/doi/10.1080/10408398.2021.2002806
Associations of fermented and non-fermented dairy consumption with serum C-reactive protein concentrations – A cross-sectional analysis,2022,"Elisa K. Voutilainen, Sari Hantunen, Anu Ruusunen, Tomi-Pekka Tuomainen, Jyrki K. Virtanen",10.1016/j.clnesp.2022.01.011,journal-article,researchgraph.com/doi/10.1016/j.clnesp.2022.01.011
Efficacy of low carbohydrate and ketogenic diets in treating mood and anxiety disorders: systematic review and implications for clinical practice,2023,"Daniel M. Dietch, Jess Kerr-Gaffney, Meghan Hockey, Wolfgang Marx, Anu Ruusunen, Allan H. Young, Michael Berk, Valeria Mondelli",10.1192/bjo.2023.36,journal-article,researchgraph.com/doi/10.1192/bjo.2023.36
Prevalence of eating disorder symptoms in people with insulin-dependent-diabetes: A systematic review and meta-analysis,2024,"Pia E. Niemelä, Hanna A. Leppänen, Ari Voutilainen, Essi M. Möykkynen, Kirsi A. Virtanen, Anu A. Ruusunen, Reeta M. Rintamäki",10.1016/j.eatbeh.2024.101863,journal-article,researchgraph.com/doi/10.1016/j.eatbeh.2024.101863
The effect of vitamin D supplementation on depressive symptoms in adults: A systematic review and meta‐analysis of randomized controlled trials,2022,"Tuomas Mikola, Wolfgang Marx, Melissa M. Lane, Meghan Hockey, Amy Loughman, Sanna Rajapolvi, Tetyana Rocks, Adrienne O’Neil, David Mischoulon, Minna Valkonen-Korhonen, Soili M. Lehto, Anu Ruusunen",10.1080/10408398.2022.2096560,journal-article,researchgraph.com/doi/10.1080/10408398.2022.2096560
Clinical guidelines for the use of lifestyle-based mental health care in major depressive disorder: World Federation of Societies for Biological Psychiatry (WFSBP) and Australasian Society of Lifestyl,2022,"Wolfgang Marx, Sam H. Manger, Mark Blencowe, Greg Murray, Fiona Yan-Yee Ho, Sharon Lawn, James A. Blumenthal, Felipe Schuch, Brendon Stubbs, Anu Ruusunen, Hanna Demelash Desyibelew, Timothy G. Dinan, Felice Jacka, Arun Ravindran, Michael Berk, Adrienne O’Neil",10.1080/15622975.2022.2112074,journal-article,researchgraph.com/doi/10.1080/15622975.2022.2112074
Treatment interventions for Severe and Enduring Eating Disorders: Systematic review,2020,"Emilia Kotilahti, Madeline West, Rasmus Isomaa, Leila Karhunen, Tetyana Rocks, Anu Ruusunen",10.1002/eat.23322,journal-article,researchgraph.com/doi/10.1002/eat.23322
Social support mediates the effect of morningness on changes in subjective well‐being over 6 months,2022,"Joanna Gorgol, Ben Bullock, Maciej Stolarski",10.1111/jsr.13671,journal-article,researchgraph.com/doi/10.1111/jsr.13671
Psychological Interventions to Improve Sleep in Young Adults: A Systematic Review and Meta-analysis of Randomized Controlled Trials,2021,"Ali Kodsi, Ben Bullock, Gerard A. Kennedy, Loredana Tirlea",10.1080/15402002.2021.1876062,journal-article,researchgraph.com/doi/10.1080/15402002.2021.1876062
Sleep and psychological wellbeing of racehorse industry workers: A survey of Australian trainers,2019,"Ben Bullock, Christine Critchley, Hilary Davis, Laura Tirlea, Kirra Fitzgerald, Jane Farmer",10.1111/ajpy.12230,journal-article,researchgraph.com/doi/10.1111/ajpy.12230
The Effect of Sleep Deprivation on Creative Cognition: A Systematic Review of Experiment-Based Research,2024,"Amber Rose Lim, Benedict J Williams, Ben Bullock",10.1080/10400419.2024.2343508,journal-article,researchgraph.com/doi/10.1080/10400419.2024.2343508
Adrift in time: the subjective experience of circadian challenge during COVID-19 amongst people with mood disorders,2021,"Piyumi Kahawage, Marie Crowe, John Gottlieb, Holly A. Swartz, Lakshmi N. Yatham, Ben Bullock, Maree Inder, Richard Porter, Andrew A. Nierenberg, Ybe Meesters, Marijke Gordjin, Bartholomeus C. M. Haarman, Greg Murray",10.1080/07420528.2021.1967971,journal-article,researchgraph.com/doi/10.1080/07420528.2021.1967971
The mediating role of perceived social support in the relationship between morningness–eveningness and subjective well‐being,2021,"Joanna Gorgol, Maciej Stolarski, Ben Bullock",10.1111/jsr.13520,journal-article,researchgraph.com/doi/10.1111/jsr.13520
"A psychometric investigation of the sleep, circadian rhythms, and mood (SCRAM) questionnaire",2018,"Jamie E. M. Byrne, Ben Bullock, Aida Brydon, Greg Murray",10.1080/07420528.2018.1533850,journal-article,researchgraph.com/doi/10.1080/07420528.2018.1533850
Traits related to bipolar disorder are associated with an increased post-illumination pupil response,2019,"Ben Bullock, Elise M. McGlashan, Angus C. Burns, B. Sinh Lu, Sean W. Cain",10.1016/j.psychres.2019.05.025,journal-article,researchgraph.com/doi/10.1016/j.psychres.2019.05.025
Sleep Problems in School Aged Children: A Common Process across Internalising and Externalising Behaviours?,2019,"Danielle M. Bayes, Ben Bullock",10.3390/clockssleep2010002,journal-article,researchgraph.com/doi/10.3390/clockssleep2010002
Discriminative and predictive validity of risk assessment measures for women incarcerated for serious violent offences in Australia,2024,"Nina Papalia, Melanie Simmons, Janet Ruffles, Benjamin Spivak, Ashley Dunne, Rachael Fullam, James R. P. Ogloff",10.1080/13218719.2023.2242437,journal-article,researchgraph.com/doi/10.1080/13218719.2023.2242437
"Abnormal gene expression of BDNF, but not BDNF-AS, in iPSC, neural stem cells and postmortem brain samples from bipolar disorder",2021,"Tamaki Ishima, Sebastian Illes, Yoshimi Iwayama, Brian Dean, Takeo Yoshikawa, Hans Ågren, Keiko Funa, Kenji Hashimoto",10.1016/j.jad.2021.04.042,journal-article,researchgraph.com/doi/10.1016/j.jad.2021.04.042
Evidence that the frontal pole has a significant role in the pathophysiology of schizophrenia,2022,"Megan Snelleksz, Susan L Rossell, Andrew Gibbons, Jess Nithianantharajah, Brian Dean",10.1016/j.psychres.2022.114850,journal-article,researchgraph.com/doi/10.1016/j.psychres.2022.114850
"Changes in cortical gene expression in the muscarinic M1 receptor knockout mouse: potential relevance to schizophrenia, Alzheimer’s disease and cognition",2021,"Brian Dean, Elizabeth Scarr",10.1038/s41537-021-00174-z,journal-article,researchgraph.com/doi/10.1038/s41537-021-00174-z
Muscarinic M1 and M4 receptor agonists for schizophrenia: promising candidates for the therapeutic arsenal,2023,Brian Dean,10.1080/13543784.2023.2288074,journal-article,researchgraph.com/doi/10.1080/13543784.2023.2288074
Evidence for Altered Metabolism of Sphingosine-1-Phosphate in the Corpus Callosum of Patients with Schizophrenia,2020,"Kayoko Esaki, Shabeesh Balan, Yoshimi Iwayama, Chie Shimamoto-Mitsuyama, Yoshio Hirabayashi, Brian Dean, Takeo Yoshikawa",10.1093/schbul/sbaa052,journal-article,researchgraph.com/doi/10.1093/schbul/sbaa052
"Higher levels of α7 nicotinic receptors, but not choline acetyltransferase, in the dorsolateral prefrontal cortex from a sub-group of patients with schizophrenia",2020,"Brian Dean, Geoffrey Pavey, Elizabeth Scarr",10.1016/j.schres.2020.05.034,journal-article,researchgraph.com/doi/10.1016/j.schres.2020.05.034
Common changes in rat cortical gene expression after chronic treatment with chlorpromazine and haloperidol may be related to their antipsychotic efficacy,2023,"Brian Dean, Elizabeth Scarr",10.1016/j.nsa.2022.101015,journal-article,researchgraph.com/doi/10.1016/j.nsa.2022.101015
"Lower levels of soluble β-amyloid precursor protein, but not β-amyloid, in the frontal cortex in schizophrenia",2024,"Brian Dean, James Duce, Qiao-Xin Li, Colin L. Masters, Elizabeth Scarr",10.1016/j.psychres.2023.115656,journal-article,researchgraph.com/doi/10.1016/j.psychres.2023.115656
Cortical expression of the RAPGEF1 gene in schizophrenia: investigating regional differences and suicide,2021,"Andrea Gogos, Jeehae Sun, Madhara Udawela, Andrew Gibbons, Maarten van den Buuse, Elizabeth Scarr, Brian Dean",10.1016/j.psychres.2021.113818,journal-article,researchgraph.com/doi/10.1016/j.psychres.2021.113818
SMAD4 protein is decreased in the dorsolateral prefrontal and anterior cingulate cortices in schizophrenia,2020,"Andrew S. Gibbons, Daniel Hoyer, Brian Dean",10.1080/15622975.2020.1733081,journal-article,researchgraph.com/doi/10.1080/15622975.2020.1733081
Cell Type–Specific Methylome-wide Association Studies Implicate Neurotrophin and Innate Immune Signaling in Major Depressive Disorder,2020,"Robin F. Chan, Gustavo Turecki, Andrey A. Shabalin, Jerry Guintivano, Min Zhao, Lin Y. Xie, Gerard van Grootheest, Zachary A. Kaminsky, Brian Dean, Brenda W.J.H. Penninx, Karolina A. Aberg, Edwin J.C.G. van den Oord",10.1016/j.biopsych.2019.10.014,journal-article,researchgraph.com/doi/10.1016/j.biopsych.2019.10.014
Evidence that a working memory cognitive phenotype within schizophrenia has a unique underlying biology.,2022,"Brian Dean, Elizabeth H.X. Thomas, Kiymet Bozaoglu, Eric J. Tan, Tamsyn E. Van Rheenen, Erica Neill, Philip J. Sumner, Sean P. Carruthers, Elizabeth Scarr, Susan L Rossell, Caroline Gurvich",10.1016/j.psychres.2022.114873,journal-article,researchgraph.com/doi/10.1016/j.psychres.2022.114873
Variant-risk-exon interplay impacts circadian rhythm and dopamine signaling pathway in severe psychiatric disorders,2022,"Karolina Worf, Natalie Matosin, Nathalie Gerstner, Anna S. Fröhlich, Anna C. Koller, Franziska Degenhardt, Holger Thiele, Marcella Rietschel, Madhara Udawela, Elizabeth Scarr, Brian Dean, Fabian J. Theis, Janine Knauer-Arloth, Nikola S. Mueller",10.1101/2022.08.09.22278128,posted-content,researchgraph.com/doi/10.1101/2022.08.09.22278128
Associations between catechol-O-methyltransferase (COMT) genotypes at rs4818 and rs4680 and gene expression in human dorsolateral prefrontal cortex,2020,"Brian Dean, Georgia M. Parkin, Andrew S. Gibbons",10.1007/s00221-020-05730-0,journal-article,researchgraph.com/doi/10.1007/s00221-020-05730-0
Effects of Oral Contraceptive Androgenicity on Visuospatial and Social-Emotional Cognition: A Prospective Observational Trial,2020,"Caroline Gurvich, Annabelle M. Warren, Roisin Worsley, Abdul-Rahman Hudaib, Natalie Thomas, Jayashri Kulkarni",10.3390/brainsci10040194,journal-article,researchgraph.com/doi/10.3390/brainsci10040194
The Relationship between Negative Symptoms and Both Emotion Management and Non-social Cognition in Schizophrenia Spectrum Disorders,2020,"Caitlin O. B. Yolland, Sean P. Carruthers, Wei Lin Toh, Erica Neill, Philip J. Sumner, Elizabeth H. X. Thomas, Eric J. Tan, Caroline Gurvich, Andrea Phillipou, Tamsyn E. Van Rheenen, Susan L. Rossell",10.1017/s1355617720001290,journal-article,researchgraph.com/doi/10.1017/s1355617720001290
A systematic review of the effect of ovarian sex hormones on stimulant use in females,2021,"Shalini Arunogiri, Rose Crossin, Davinia Rizzo, Leigh Walker, Kelly Ridley, Caroline Gurvich",10.1111/adb.13079,journal-article,researchgraph.com/doi/10.1111/adb.13079
"Schizotypy, neuroticism, and saccadic eye movements: New data and meta‐analysis",2020,"Elizabeth H. X. Thomas, Maria Steffens, Christopher Harms, Susan L. Rossell, Caroline Gurvich, Ulrich Ettinger",10.1111/psyp.13706,journal-article,researchgraph.com/doi/10.1111/psyp.13706
